created_at,id,object_id,object_class,description,customer_id,store_id,verb,source,updated_at,ip,description_extended,general_properties,ip_address,address_id,subscription_id,real_sub_id
4/28/21 14:29,2297807371,104009546,subscription,[API] fwallace@fambrands.com updated Subscription #104009546,5170966,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:29,None,"Subscription item ""3 Months - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1205-1619634568.625-108.251.61.14-899""}",108.251.61.14,54388043,104009546
4/28/21 14:30,2297809335,59422545,subscription,[API] fwallace@fambrands.com updated Subscription #59422545,5202666,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:30,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1285-1619634611.956-108.251.61.14-932""}",108.251.61.14,41055622,59422545
4/28/21 14:29,2297808013,90842114,subscription,[API] fwallace@fambrands.com updated Subscription #90842114,8266271,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:29,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1206-1619634584.637-108.251.61.14-896""}",108.251.61.14,50343178,90842114
4/28/21 14:31,2297813160,41141518,subscription,[API] fwallace@fambrands.com updated Subscription #41141518,27842066,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:31,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1275-1619634693.987-108.251.61.14-932""}",108.251.61.14,31322514,41141518
4/28/21 14:30,2297809205,59981548,subscription,[API] fwallace@fambrands.com updated Subscription #59981548,29459537,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:30,None,"Subscription item ""3 Months - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1142-1619634609.181-108.251.61.14-984""}",108.251.61.14,41233190,59981548
4/28/21 14:31,2297813080,44020021,subscription,[API] fwallace@fambrands.com updated Subscription #44020021,29459537,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:31,None,"Subscription item ""3 Months - 5 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1275-1619634691.863-108.251.61.14-890""}",108.251.61.14,33141583,44020021
4/28/21 14:31,2297813008,44550516,subscription,[API] fwallace@fambrands.com updated Subscription #44550516,29661703,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:31,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1275-1619634690.291-108.251.61.14-932""}",108.251.61.14,33357741,44550516
4/28/21 14:29,2297808091,88285987,subscription,[API] fwallace@fambrands.com updated Subscription #88285987,30362297,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:29,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1286-1619634586.476-108.251.61.14-896""}",108.251.61.14,49561963,88285987
4/28/21 14:31,2297812928,47914373,subscription,[API] fwallace@fambrands.com updated Subscription #47914373,31426749,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:31,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1274-1619634688.481-108.251.61.14-933""}",108.251.61.14,35300263,47914373
4/28/21 14:31,2297812864,50804109,subscription,[API] fwallace@fambrands.com updated Subscription #50804109,32762295,8995,updated,[API] fwallace@fambrands.com,4/28/21 14:31,None,"Subscription item ""3 Months - 3 Items"" updated","{""trace"": ""purchase_item.py:927:queue_event_for_item_update"""," ""request_id"": ""1205-1619634686.949-108.251.61.14-932""}",108.251.61.14,36920131,50804109
